PLU,DESCRIP,OUTLET,STORENAME,QTY,Rank
22826,FROSTBITE - (FREE) 490ML,747,ALBERT ST,4,1
2019121907,2020 - FREE SCHW 440ML,747,ALBERT ST,2,2
2019121910,2020 - FREE CAD TWIRL 39GM,747,ALBERT ST,1,3
2019121914,2020 - FREE 4N20 TRAVELLER 160GM,747,ALBERT ST,1,4
24388,2020 - FREE YOUFOODZ,747,ALBERT ST,1,5
2019121907,2020 - FREE SCHW 440ML,799,ASHGROVE BP,1,1
2019121907,2020 - FREE SCHW 440ML,706,ASHGROVE WEST,2,1
2019121910,2020 - FREE CAD TWIRL 39GM,856,BELLEVUE,1,1
2019121913,2020 - FREE PADDLE POP 70ML,856,BELLEVUE,1,2
2019121907,2020 - FREE SCHW 440ML,858,BERKELEY VALE,3,1
2019121911,2020 - FREE KIT KAT 45GM,858,BERKELEY VALE,1,2
22826,FROSTBITE - (FREE) 490ML,858,BERKELEY VALE,1,3
24388,2020 - FREE YOUFOODZ,858,BERKELEY VALE,1,4
24389,2020 - FREE V ENERGY 250ML,858,BERKELEY VALE,1,5
24390,2020 - FREE VAALIA 160ML,858,BERKELEY VALE,1,6
2019121911,2020 - FREE KIT KAT 45GM,735,BOONDALL,2,1
24388,2020 - FREE YOUFOODZ,735,BOONDALL,1,2
2019121908,2020 - FREE LION MILK 500/600ML,735,BOONDALL,1,3
2019121913,2020 - FREE PADDLE POP 70ML,793,BYRON BAY,1,1
2019121911,2020 - FREE KIT KAT 45GM,762,CAIRNS EARLVILLE,1,1
24389,2020 - FREE V ENERGY 250ML,744,CAIRNS ESPLANADE,1,1
2019121907,2020 - FREE SCHW 440ML,744,CAIRNS ESPLANADE,1,2
2019121916,2020 - FREE OAK 500ML,744,CAIRNS ESPLANADE,1,3
2019121910,2020 - FREE CAD TWIRL 39GM,796,CAIRNS RESERVOIR RD,1,1
2019121916,2020 - FREE OAK 500ML,796,CAIRNS RESERVOIR RD,1,2
2019121913,2020 - FREE PADDLE POP 70ML,760,CAIRNS SHERIDAN,1,1
24388,2020 - FREE YOUFOODZ,716,CAIRNS SPENCE,2,1
2019121907,2020 - FREE SCHW 440ML,716,CAIRNS SPENCE,1,2
2019121910,2020 - FREE CAD TWIRL 39GM,716,CAIRNS SPENCE,1,3
2019121911,2020 - FREE KIT KAT 45GM,716,CAIRNS SPENCE,1,4
24387,2020 - FREE DRUMSTICK 119ML,788,CAIRNS TRINITY BEACH,1,1
2019121910,2020 - FREE CAD TWIRL 39GM,788,CAIRNS TRINITY BEACH,1,2
2019121911,2020 - FREE KIT KAT 45GM,788,CAIRNS TRINITY BEACH,1,3
24390,2020 - FREE VAALIA 160ML,720,CAIRNS WESTCOURT,1,1
2019121911,2020 - FREE KIT KAT 45GM,720,CAIRNS WESTCOURT,1,2
2019121916,2020 - FREE OAK 500ML,720,CAIRNS WESTCOURT,1,3
24388,2020 - FREE YOUFOODZ,787,CANNON HILL,2,1
22826,FROSTBITE - (FREE) 490ML,787,CANNON HILL,1,2
2019121911,2020 - FREE KIT KAT 45GM,700,ENOGGERA,2,1
2019121907,2020 - FREE SCHW 440ML,789,FERNBROOKE,4,1
24388,2020 - FREE YOUFOODZ,789,FERNBROOKE,2,2
24389,2020 - FREE V ENERGY 250ML,789,FERNBROOKE,1,3
2019121910,2020 - FREE CAD TWIRL 39GM,789,FERNBROOKE,1,4
2019121914,2020 - FREE 4N20 TRAVELLER 160GM,789,FERNBROOKE,1,5
22826,FROSTBITE - (FREE) 490ML,789,FERNBROOKE,1,6
2019121907,2020 - FREE SCHW 440ML,746,FITZGIBBON,4,1
22826,FROSTBITE - (FREE) 490ML,746,FITZGIBBON,2,2
24389,2020 - FREE V ENERGY 250ML,746,FITZGIBBON,1,3
2019121911,2020 - FREE KIT KAT 45GM,746,FITZGIBBON,1,4
2019121913,2020 - FREE PADDLE POP 70ML,746,FITZGIBBON,1,5
24388,2020 - FREE YOUFOODZ,725,FORTITUDE VALLEY - B,1,1
24389,2020 - FREE V ENERGY 250ML,725,FORTITUDE VALLEY - B,1,2
2019121907,2020 - FREE SCHW 440ML,768,FORTITUDE VALLEY - W,1,1
2019121907,2020 - FREE SCHW 440ML,713,GLADSTONE,4,1
2019121914,2020 - FREE 4N20 TRAVELLER 160GM,713,GLADSTONE,2,2
