DATE,01/06/2018 16:00:00,792,
PRODUCT,1387070,-00018,
PRODUCT,1092845,-00032,
PRODUCT,1475077,-00016,
PRODUCT,1024339,-00001,
PRODUCT,1657920,-00011,
PRODUCT,1657938,-00001,
PRODUCT,1055267,-00025,
PRODUCT,1313738,-00025,
PRODUCT,1387274,-00014,
PRODUCT,1307371,-00008,
PRODUCT,1884200,-00009,
PRODUCT,1622687,-00003,
PRODUCT,1452859,-00008,
PRODUCT,9199,-00001,
PRODUCT,3003,-00003,
PRODUCT,1609184,-00004,
PRODUCT,1882648,-00001,
PRODUCT,1882672,-00008,
PRODUCT,1387208,-00010,
PRODUCT,1964937,-00005,
PRODUCT,1394085,-00033,
PRODUCT,1838733,-00042,
PRODUCT,1386927,-00022,
PRODUCT,1327185,-00019,
PRODUCT,1003621,-00040,
PRODUCT,1328636,-00004,
PRODUCT,1353610,-00012,
PRODUCT,1351118,-00007,
PRODUCT,1012751,-00002,
PRODUCT,1398270,-00049,
PRODUCT,1307203,-00001,
PRODUCT,6835,-00009,
PRODUCT,12887,-00006,
PRODUCT,1996578,-00046,
PRODUCT,9928,-00110,
PRODUCT,1874289,-00052,
PRODUCT,1436196,-00064,
PRODUCT,1961036,-00074,
PRODUCT,1409482,-00051,
PRODUCT,1914275,-00008,
PRODUCT,1384234,-00028,
PRODUCT,1418944,-00006,
PRODUCT,1421858,-00024,
PRODUCT,1417841,-00006,
PRODUCT,1636432,-00004,
PRODUCT,1636513,-00008,
PRODUCT,1636458,-00004,
PRODUCT,1040686,-00007,
PRODUCT,1070568,-00008,
PRODUCT,1072659,-00007,
PRODUCT,1068197,-00003,
PRODUCT,1327931,-00003,
PRODUCT,1327965,-00002,
PRODUCT,1360361,-00003,
PRODUCT,1619833,-00004,
PRODUCT,1441688,-00022,
PRODUCT,1592311,-00003,
PRODUCT,1592337,-00003,
PRODUCT,1473279,-00020,
PRODUCT,1667789,-00015,
PRODUCT,1638413,-00027,
PRODUCT,1094562,-00020,
PRODUCT,1056378,-00010,
PRODUCT,4967,-00005,
PRODUCT,1390727,-00011,
PRODUCT,1033312,-00008,
PRODUCT,1024842,-00003,
PRODUCT,1341294,-00004,
PRODUCT,1402980,-00002,
PRODUCT,1015474,-00005,
PRODUCT,1015482,-00006,
PRODUCT,1421206,-00007,
PRODUCT,1490776,-00004,
PRODUCT,1440357,-00008,
PRODUCT,1393233,-00001,
PRODUCT,1609600,-00004,
PRODUCT,1020885,-00001,
PRODUCT,1055877,-00006,
PRODUCT,1375706,-00003,
PRODUCT,1055372,-00010,
PRODUCT,1373623,-00006,
PRODUCT,1621220,-00004,
PRODUCT,1089818,-00017,
PRODUCT,1064494,-00011,
PRODUCT,1099889,-00017,
PRODUCT,1053914,-00003,
PRODUCT,1350007,-00003,
PRODUCT,1350078,-00006,
PRODUCT,1059334,-00003,
PRODUCT,1054211,-00006,
PRODUCT,1054813,-00001,
PRODUCT,1427448,-00002,
PRODUCT,1139935,-00008,
PRODUCT,1947090,-00003,
PRODUCT,1972809,-00005,
PRODUCT,6832,-00005,
PRODUCT,1699053,-00002,
PRODUCT,1062337,-00002,
PRODUCT,1486345,-00003,
PRODUCT,1649286,-00002,
PRODUCT,1092887,-00016,
PRODUCT,1949181,-00005,
PRODUCT,1954411,-00011,
PRODUCT,1435904,-00038,
PRODUCT,1450386,-00022,
PRODUCT,1293860,-00038,
PRODUCT,1890617,-00040,
PRODUCT,1874271,-00106,
PRODUCT,1961549,-00048,
PRODUCT,1041425,-00039,
PRODUCT,1811859,-00008,
PRODUCT,1619948,-00006,
PRODUCT,1055974,-00008,
PRODUCT,1056417,-00022,
